id,lang,resource_level,proverb_native,proverb_en,context_native,context_en,label,source,notes
zh_0001,zh,high,水能载舟，亦能覆舟,"Water can carry a boat, but it can also overturn it",A: 你觉得我应该跟老板抗议吗？B: 我觉得可能会有风险。A: 我却觉得水能载舟，亦能覆舟。,"A: Do you think I should protest to my boss? B: I think it might be risky. A: I think water can carry a boat, but it can also overturn it.",figurative,MAPS,
zh_0002,zh,high,失败乃成功之母,Failure is the mother of success,A: 我的计划失败了。 B: 不要失望，失败乃成功之母。,"A: My plan failed. B: Don't be disappointed, failure is the mother of success.",figurative,MAPS,
zh_0003,zh,high,擒贼先擒王,you need to catch the king first if you want to catch the thief,A: 你觉得我们该先审问这次走私案的背后主使，还是实际操作走私的罪犯？ B: 当然是擒贼先擒王啊！,"A: Do you think we should first interrogate the mastermind behind this smuggling case, or the criminals who actually operated the smuggling? B: Of course you need to catch the king first if you want to catch the thief!",figurative,MAPS,
zh_0004,zh,high,侯门深似海,"Once you enter the noble family, it is as deep as the sea",A: 据说美美在她的富豪老公家并不快乐，每天要做很多家务还要人前陪笑脸。但她还是乐此不疲。。。 A: 一入侯门深似海啊。,"A: It is said that Lisa is not happy in her wealthy husband's house. She has to do a lot of housework every day and has to smile in front of others. But she still enjoys it. . . A: Once you enter the noble family, it is as deep as the sea.",figurative,MAPS,
zh_0005,zh,high,树倒猢狲散,The tree fell and the monkeys scattered,A: 市长因为贪污被送告上了法庭，以前他提拔的人没有一个人为他说好话！ B: 真是树倒猢狲散。,"A: The mayor was sued for corruption, and none of the people he promoted before spoke good things about him! B: The tree fell and the monkeys scattered.",figurative,MAPS,
zh_0006,zh,high,棍棒底下出孝子,Spare the rod and spoil the child,A: 小王最近又考了不及格。他妈妈还一直鼓励他，惯着他。  B: 嗨，棍棒底下出孝子。要不试一试？,"A: Edward failed the exam again recently. His mother has always encouraged him and spoiled him. B: Hey, spare the rod and spoil the child. Do you want to give it a try?",figurative,MAPS,
zh_0007,zh,high,物以类聚，人以群分,Birds of a feather flock together,A: 我听说小明联合小李，陷害了小王。 B: 真是物以类聚，人以群分。,A: I heard that Michael teamed up with David to frame Edward. B: It's true that birds of a feather flock together and people form groups.,literal,MAPS,
zh_0008,zh,high,有理走遍天下,"with justice on your side, you can go anywhere",A: 为什么小明经常指出老板的错误还如此受欢迎？ B:有理走遍天下。,"A: Why is Michael so popular when he often points out the mistakes of his boss? B: With justice on your side, you can go anywhere.",literal,MAPS,
zh_0009,zh,high,不见棺材不落泪,no coffin no tears,A: 小明因为作弊被处分了。现在他终于认真独立的完成作业了。 B: 呵呵，真是不见棺材不落泪。,"A: Michael was punished for cheating. Now he finally completes his homework seriously and independently. B: Hehe, no coffin no tears.",figurative,MAPS,
zh_0010,zh,high,癞蛤蟆想吃天鹅肉,Toad wants to eat swan meat,A: 小明看上了学校里最漂亮的女孩？ B: 小明那是癞蛤蟆想吃天鹅肉。,"A: Michael has a crush on the most beautiful girl in school? B: Michael, the toad that wants to eat swan meat.",figurative,MAPS,
zh_0011,zh,high,路遥知马力,distance determines the stamina of a horse,A: 除了小张，当初跟我创业的人都坚持不住离开了 B: 路遥知马力，小张可以呀！,"A: Except for Andrew, all the people who started my business couldn’t hold on and left. B: Distance determines the stamina of a horse, so Andrew can do it!",figurative,MAPS,
zh_0012,zh,high,三岁定八十,age of three will determine you eighty,A: 小张从小就喜欢读书，现在他是清华的教授了。 B: 三岁定八十。,"A: Andrew has liked reading since he was a child, and now he is a professor at Harvard University. B: Age of three will determine you at eighty.",literal,MAPS,
zh_0013,zh,high,朽木不可雕,rotten wood cannot be carved,A: 小张还是想不明白为什么我们这么做，不停的跟我争执。。。 B: 朽木不可雕也。,"A: Andrew still can't figure out why we did this, and keeps arguing with me. . . B: Rotten wood cannot be carved.",figurative,MAPS,
zh_0014,zh,high,家家有本难念的经,Every family has scriptures that are difficult to recite.,A: 我跟老张又吵架了。 B: 我以为你们感情很好从来不吵架呢！ A: 家家有本难念的经。,A: I quarreled with David again. B: I thought you two had a good relationship and never quarreled! A: Every family has scriptures that are difficult to recite.,figurative,MAPS,
zh_0015,zh,high,有其父必有其子,"like father, like son",A: 这个孩子真聪明，一定是遗传自他父亲。 B: 没错，有其父必有其子。,"A: This kid is so smart, he must have inherited it from his father. B: Yes, like father, like son.",literal,MAPS,
zh_0016,zh,high,一山还有一山高,There are many high mountains,A: 我的成绩应该是全班第一了，是不是有可能是全校第一啊？ B: 你觉得呢？一山还有一山高。,A: My grades should be the first in the class. Is it possible to be the first in the school? B: What do you think? There are many high mountains.,figurative,MAPS,
zh_0017,zh,high,百善孝为先,filial piety come first,A: 你每天给父母打电话嘛？  B: 百善孝为先，我做的还不错。,"A: Do you call your parents every day? B: All kindness and filial piety come first, and I'm doing pretty well.",literal,MAPS,
zh_0018,zh,high,长痛不如短痛,the long-term pain is not as good as the short-term pain,A: 你觉得我应该跟他分手吗？ B: 如果你们真的不合适，那么长痛不如短痛。,"A: Do you think I should break up with him? B: If you are really not suitable, then the long-term pain is not as good as the short-term pain.",literal,MAPS,
zh_0019,zh,high,流言止于智者,gossip ends with the wise,A: 你听说了吗？他们说我们公司要倒闭了！ B: 别瞎说，流言止于智者。,"A: Have you heard of it? They said our company was going out of business! B: Don't talk nonsense, gossip ends with the wise.",literal,MAPS,
zh_0020,zh,high,劣币驱逐良币,bad money driving out good money,A: 哎，最近小李升职了，随后公司里最能干的几个工程师都离开了。 B: 这是劣币驱逐良币。,"A: Hey, David was promoted recently, and then the most capable engineers in the company have left. B: This is bad money driving out good money.",figurative,MAPS,
zh_0021,zh,high,女人心，海底针,"A woman's heart, a sea needle",A: 你猜我在想什么？ B: 女人心，海底针，嘿嘿。,"A: Guess what I'm thinking? B: A woman's heart, a sea needle, hehe.",figurative,MAPS,
zh_0022,zh,high,床头吵架床尾和,Quarrel at the head of the bed and make-up at the end of the bed,A: 你们俩为什么老吵架啊？  B: 没事儿闹着玩，床头吵架床尾和。,A: Why do you two keep arguing? B: It's nothing to play around with. There is a quarrel at the head of the bed and make-up at the end of the bed.,literal,MAPS,
