id,language,proverb_native,proverb_en,label,pred,method
en_maps_00139,en,tomorrow never comes,tomorrow never comes,1,0,gemma2_9b_native_only_5-shot
de_maps_00316,de,"wer weiter will als sein pferd, der sitze ab und gehe zu fuß","If you want to go further than your horse, dismount and walk",1,0,gemma2_9b_native_only_5-shot
en_maps_00352,en,who keeps company with the wolf will learn to howl,who keeps company with the wolf will learn to howl,1,0,gemma2_9b_native_only_5-shot
id_maps_00019,id,Menepak nyamuk menjadi daki,Kick mosquitoes into climbers,1,0,gemma2_9b_native_only_5-shot
en_maps_00116,en,use it or lose it,use it or lose it,0,0,gemma2_9b_native_only_5-shot
zh_maps_00313,zh,无鱼，虾也好,"No fish, shrimp is also good",1,1,gemma2_9b_native_only_5-shot
en_maps_00354,en,the mills of the gods grind slowly,the mills of the gods grind slowly,1,0,gemma2_9b_native_only_5-shot
id_maps_00036,id,Air ditetak takkan putus,The water you set will not break,1,1,gemma2_9b_native_only_5-shot
bn_maps_00188,bn,শেওড়াতলায় আম পাওয়া গেলে আমতলায় কেন যাই,Why go to Amtala if mangoes are available in Sheoratala,1,0,gemma2_9b_native_only_5-shot
ru_maps_00159,ru,"Если бы молодость знала, если бы старость могла","If youth knew, if old age could",0,0,gemma2_9b_native_only_5-shot
id_maps_00074,id,"Anjing menggonggong, kafilah berlalu","The dog barks, the caravan passes",1,0,gemma2_9b_native_only_5-shot
bn_maps_00302,bn,বাঁশি হারিয়ে শিঙায় ফুঁ,Lost the flute and blew the trumpet,1,0,gemma2_9b_native_only_5-shot
ru_maps_00085,ru,Где тонко -там и рвётся,"Where it's thin, that's where it breaks",1,0,gemma2_9b_native_only_5-shot
ru_maps_00244,ru,"Кто себя очень любит, того другие не любят",Those who love themselves very much are not loved by others,0,0,gemma2_9b_native_only_5-shot
de_maps_00299,de,"glück und glas, wie leicht bricht das","Lucky and glass, how easily it breaks",1,0,gemma2_9b_native_only_5-shot
zh_maps_00316,zh,伴君如伴虎,accompanying the king is like accompanying a tiger,1,0,gemma2_9b_native_only_5-shot
zh_maps_00166,zh,真理越辩越明,"The more the truth is debated, the clearer it becomes",0,0,gemma2_9b_native_only_5-shot
zh_maps_00082,zh,养不教，父之过,It is the fault of the father whether to raise or not to teach,0,1,gemma2_9b_native_only_5-shot
ru_maps_00330,ru,"Не по словам судят, а по делам","People are judged not by words, but by deeds",0,0,gemma2_9b_native_only_5-shot
de_maps_00122,de,"langes fädchen, faules mädchen","long thread, lazy girl",0,0,gemma2_9b_native_only_5-shot
id_maps_00214,id,Orang yang runcing tanduk,the person with the sharp horns,1,0,gemma2_9b_native_only_5-shot
id_maps_00127,id,Bagai kura dengan isi,Like a turtle with stuffing,1,1,gemma2_9b_native_only_5-shot
id_maps_00028,id,Seperti anjing berebut tulang,Like dogs fighting over a bone,1,0,gemma2_9b_native_only_5-shot
zh_maps_00182,zh,一个巴掌拍不响,It takes two to tango,1,1,gemma2_9b_native_only_5-shot
de_maps_00109,de,"wer nichts wird, wird wirt","if you don't become anything, you'll become successful",0,0,gemma2_9b_native_only_5-shot
id_maps_00212,id,Sudah besar maka hendak melanda,It's big it's about to hit,0,1,gemma2_9b_native_only_5-shot
de_maps_00071,de,mit dem alter kommt die weisheit,with age comes wisdom,0,0,gemma2_9b_native_only_5-shot
bn_maps_00170,bn,"পরের কথা লাথি চাপড়, নিজের কথা ভাত কাপড়","Next kick, self talk rice cloth",1,0,gemma2_9b_native_only_5-shot
en_maps_00100,en,too much bed makes a dull head,too much bed makes a dull head,0,0,gemma2_9b_native_only_5-shot
id_maps_00186,id,"Seperti ilmu padi, kian berisi kian merunduk","Like rice science, the more it contains the more it bends",1,0,gemma2_9b_native_only_5-shot
de_maps_00032,de,gegensätze ziehen sich an,opposites attract,0,0,gemma2_9b_native_only_5-shot
en_maps_00309,en,them's the breaks,them's the breaks,0,0,gemma2_9b_native_only_5-shot
zh_maps_00073,zh,真人不露相,hide one's light under a bushel,0,0,gemma2_9b_native_only_5-shot
de_maps_00135,de,du bist nur einmal jung,you're only young once,0,0,gemma2_9b_native_only_5-shot
zh_maps_00197,zh,十年树木，百年树人,It takes ten years to cultivate a tree and a hundred years to cultivate a person,0,0,gemma2_9b_native_only_5-shot
de_maps_00086,de,ein jeder kehre vor seiner eigenen tür,let each one return to his own door,1,0,gemma2_9b_native_only_5-shot
ru_maps_00147,ru,"Дружба дружбой, а табачок врозь","Friendship is friendship, but tobacco is apart",1,0,gemma2_9b_native_only_5-shot
zh_maps_00226,zh,媳妇熬成婆,the daughter-in-law has become a mother-in-law,1,1,gemma2_9b_native_only_5-shot
ru_maps_00346,ru,Ничто не вечно под луной,Nothing lasts forever,0,0,gemma2_9b_native_only_5-shot
bn_maps_00090,bn,"এক হেঁসেলে দুই রাঁধুনি, পুড়ে গেল তার ফেনগালুনি","Two cooks in one hensel, his fengaluni got burnt",1,0,gemma2_9b_native_only_5-shot
de_maps_00050,de,bellende hunde beißen nicht!,barking dogs don't bite!,1,0,gemma2_9b_native_only_5-shot
de_maps_00126,de,dienst ist dienst und schnaps ist schnaps,Duty is duty and liquor is liquor,0,1,gemma2_9b_native_only_5-shot
id_maps_00033,id,Bagai air titik ke batu,the water point to the rock,1,0,gemma2_9b_native_only_5-shot
en_maps_00167,en,what's done is done,what's done is done,0,1,gemma2_9b_native_only_5-shot
en_maps_00129,en,"if you aim at nothing, you'll hit it every time","if you aim at nothing, you'll hit it every time",0,0,gemma2_9b_native_only_5-shot
id_maps_00128,id,Bagai mendapat durian runtuh,Like getting a windfall,1,0,gemma2_9b_native_only_5-shot
bn_maps_00321,bn,ঘরে বসে পুছে বাত তার ঘরে হা ভাত- খনা,Sitting at home puche vat her house ha vata- khana,1,1,gemma2_9b_native_only_5-shot
en_maps_00237,en,no one is born a master,no one is born a master,0,0,gemma2_9b_native_only_5-shot
ru_maps_00245,ru,"Кто смел, тот два съeл",He who was brave ate two,0,0,gemma2_9b_native_only_5-shot
en_maps_00060,en,he who digs a pit for others falls in himself,he who digs a pit for others falls in himself,1,0,gemma2_9b_native_only_5-shot
en_maps_00062,en,"he that mischief hatches, mischief catches","he that mischief hatches, mischief catches",0,0,gemma2_9b_native_only_5-shot
ru_maps_00250,ru,Курам нa смех,The chickens laugh,1,0,gemma2_9b_native_only_5-shot
id_maps_00122,id,Utang sebelit pinggang,debt to the waist,0,0,gemma2_9b_native_only_5-shot
zh_maps_00259,zh,蓬生麻中，不扶而直,"Punta grass grows in hemp field, straight without support",1,1,gemma2_9b_native_only_5-shot
zh_maps_00177,zh,久病床前无孝子,There is no filial son in front of the bed for a long time,0,1,gemma2_9b_native_only_5-shot
bn_maps_00165,bn,নালা কেটে নোনা জল আনা,Bring salt water by cutting the canal,1,1,gemma2_9b_native_only_5-shot
bn_maps_00247,bn,বড় বাড় ভালো নয়,Bigger is not better,0,1,gemma2_9b_native_only_5-shot
de_maps_00175,de,kleinvieh macht auch mist,Small animals mess up too,1,0,gemma2_9b_native_only_5-shot
de_maps_00303,de,"wer morgens pfeift, den holt abends die katze",Whoever whistles in the morning will get the cat in the evening,1,0,gemma2_9b_native_only_5-shot
bn_maps_00278,bn,ঠেলার নাম বাবাজী,Thela's name is Babaji,1,0,gemma2_9b_native_only_5-shot
