id,language,resource_level,proverb_native,proverb_en,fig_or_literal,mk_theme,proverb_type,prescriptive_or_descriptive,structural_pattern,crosslingual_type_id,source_dataset,source_url,license,human_machine_labelled
zh_maps_00001,zh,high,水能载舟，亦能覆舟,"Water can carry a boat, but it can also overturn it",1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00002,zh,high,失败乃成功之母,Failure is the mother of success,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00003,zh,high,擒贼先擒王,you need to catch the king first if you want to catch the thief,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00004,zh,high,侯门深似海,"Once you enter the noble family, it is as deep as the sea",1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00005,zh,high,树倒猢狲散,The tree fell and the monkeys scattered,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00006,zh,high,棍棒底下出孝子,Spare the rod and spoil the child,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00007,zh,high,物以类聚，人以群分,Birds of a feather flock together,0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00008,zh,high,有理走遍天下,"with justice on your side, you can go anywhere",0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00009,zh,high,不见棺材不落泪,no coffin no tears,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00010,zh,high,癞蛤蟆想吃天鹅肉,Toad wants to eat swan meat,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00011,zh,high,路遥知马力,distance determines the stamina of a horse,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00012,zh,high,三岁定八十,age of three will determine you eighty,0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00013,zh,high,朽木不可雕,rotten wood cannot be carved,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00014,zh,high,家家有本难念的经,Every family has scriptures that are difficult to recite.,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00015,zh,high,有其父必有其子,"like father, like son",0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00016,zh,high,一山还有一山高,There are many high mountains,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00017,zh,high,百善孝为先,filial piety come first,0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00018,zh,high,长痛不如短痛,the long-term pain is not as good as the short-term pain,0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00019,zh,high,流言止于智者,gossip ends with the wise,0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00020,zh,high,劣币驱逐良币,bad money driving out good money,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00021,zh,high,女人心，海底针,"A woman's heart, a sea needle",1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00022,zh,high,床头吵架床尾和,Quarrel at the head of the bed and make-up at the end of the bed,0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00023,zh,high,天不从人愿,God doesn't do what people want,0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00024,zh,high,得饶人处且饶人,be forgiving and forgiving,0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00025,zh,high,燕雀安知鸿鹄志,swallow doesn't know eagle ambition,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00026,zh,high,人外有人，天外有天,"There are people beyond people, and there is a sky beyond the sky",0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00027,zh,high,平安就是福,safty is blessing,0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00028,zh,high,万变不离其宗,"No matter how the world changes, we must always stick to our beliefs and principles, and stay true to our principles",0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00029,zh,high,条条大路通罗马,All roads lead to Rome,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00030,zh,high,聊胜于无,better than nothing,0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00031,zh,high,习惯成自然,it comes naturally from habit,0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00032,zh,high,一分钱一分货,you get what you pay for,0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00033,zh,high,船到桥头自然直,We'll cross that bridge when we come to it,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00034,zh,high,当局者迷，旁观者清,Lookers-on see most of the game,0,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00035,zh,high,开弓没有回头箭,There is no turning back when the bow is opened,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
zh_maps_00036,zh,high,山不转路转,There's more than one way to skin a cat,1,,,,,,MAPS,https://github.com/UKPLab/maps,gated-research-only-do-not-redistribute,human
