source_id,kuusi_id,theme,main_class,subgroup_code,type_number,proverb_original,proverb_variant_1,proverb_variant_2,proverb_variant_3,proverb_variant_4,proverb_variant_extra,proverb_primary_en,proverb_parse_warning,language_tags_raw,translation_tag_types,language_names_extracted,has_language_or_translation_tag,slug,missing_marker,cross_references,specific_reference,distribution,region_E,region_F,region_O,region_I,region_A,region_G,region_Ew,region_Es,region_P,region_Ee,region_En,region_Eb
148214,A1a-13,A,A1,A1a,13,Water will stand in a hollow,Water will stand in a hollow,,,,,Water will stand in a hollow,ok,,,,0,unive3-a1a-1,-i,"F1b,K1j",,"F,Ew,Ee,A,O",0,1,1,0,1,0,1,0,0,1,0,0
148215,A1a-14,A,A1,A1a,14,Let things take their course / Man muß den Dingen ihren Lauf lassen / Il faut laisser couler l'eau,Let things take their course,Man muß den Dingen ihren Lauf lassen,Il faut laisser couler l'eau,,,Let things take their course,ok,,,,0,unive3-a1a-2,,,,"F,E,I",1,1,0,1,0,0,0,0,0,0,0,0
148219,A1a-17,A,A1,A1a,17,"Fire is a good servant but a bad master / L'acqua e il fuoco son buoni servitori, ma cattivi padroni",Fire is a good servant but a bad master,"L'acqua e il fuoco son buoni servitori, ma cattivi padroni",,,,Fire is a good servant but a bad master,ok,,,,0,unive3-a1a-3,,,K2k 21,"F,E,I,O",1,1,1,1,0,0,0,0,0,0,0,0
148239,A1b-17,A,A1,A1b,17,"Praise the sea, but keep on land / Schön ist das Meer vom Ufer aus/ Fida terra, infidum mare (Latin) / Loue la mer, et tiens-toi à la terre","Praise the sea, but keep on land",Schön ist das Meer vom Ufer aus,"Fida terra, infidum mare (Latin)","Loue la mer, et tiens-toi à la terre",,"Praise the sea, but keep on land",ok,(Latin),parenthetical_language,Latin,1,unive3-a1b-4,,H4b,,E,1,0,0,0,0,0,0,0,0,0,0,0
148242,A1b-19,A,A1,A1b,19,"Let him that knows not how to pray, go to sea / Wer nicht beten kann, werde ein Schiffsmann / Das Meer lehrt beten / Qui nescit orare, pergat ad mare (Latin)","Let him that knows not how to pray, go to sea","Wer nicht beten kann, werde ein Schiffsmann",Das Meer lehrt beten,"Qui nescit orare, pergat ad mare (Latin)",,"Let him that knows not how to pray, go to sea",ok,(Latin),parenthetical_language,Latin,1,unive3-a1b-5,,,H5h 16,"F,E",1,1,0,0,0,0,0,0,0,0,0,0
148250,A1c-11,A,A1,A1c,11,"Where there's muck there's money / Wo stinkt, da klingt / Negro es el carbonero, pero blanco su dinero",Where there's muck there's money,"Wo stinkt, da klingt","Negro es el carbonero, pero blanco su dinero",,,Where there's muck there's money,ok,,,,0,unive3-a1c-6,,,,"F,En,Ew",0,1,0,0,0,0,1,0,0,0,1,0
148265,A1e-10,A,A1,A1e,10,"Heat breaks no bones / Wärme bringt Leben, Kälte Tod",Heat breaks no bones,"Wärme bringt Leben, Kälte Tod",,,,Heat breaks no bones,ok,,,,0,unive3-a1e-7,,,,"F,Ew,Ee",0,1,0,0,0,0,1,0,0,1,0,0
148281,A2a-14,A,A2,A2a,14,A woman hath nine lives like a cat / eine Katze hat neun Leben / les chats ont neuf vies / gatos tienen siete vidas / gatti hanno nove vite,A woman hath nine lives like a cat,eine Katze hat neun Leben,les chats ont neuf vies,gatos tienen siete vidas,gatti hanno nove vite,A woman hath nine lives like a cat,many_variants,,,,0,unive3-a2a-8,,,,"F,E,I",1,1,0,1,0,0,0,0,0,0,0,0
148336,A2b-19,A,A2,A2b,19,"An evening red and a morning grey are sure signs of a fair day / Abendrot gut Wetter bot, Morgenrot bringt Wind und Kot / Sera rossa e negro mattino allegra il pellegrino",An evening red and a morning grey are sure signs of a fair day,"Abendrot gut Wetter bot, Morgenrot bringt Wind und Kot",Sera rossa e negro mattino allegra il pellegrino,,,An evening red and a morning grey are sure signs of a fair day,ok,,,,0,unive3-a2b-9,,,,F,0,1,0,0,0,0,0,0,0,0,0,0
148345,A3a-12,A,A3,A3a,12,The east wind won't cease before it rains and a wife's scolding won't cease before she cries trl. Finnish,The east wind won't cease before it rains and a wife's scolding won't cease before she cries trl. Finnish,,,,,The east wind won't cease before it rains and a wife's scolding won't cease before she cries,ok,trl. Finnish,translation_marker,Finnish,1,unive3-a3a-10,-a,"H7d,G4c,D2a,D2c,G5f",,"F,Ew,I,O",0,1,1,1,0,0,1,0,0,0,0,0
