id,language,resource_level,proverb_native,proverb_en,fig_or_literal,mk_theme,proverb_type,prescriptive_or_descriptive,structural_pattern,crosslingual_type_id,source_dataset,source_url,license,human_machine_labelled
am_proverbeval_00001,am,low,ሀ ሁ፥ ባልኩ ተለከፍኩ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00002,am,low,ሀ ባሉ፥ ተዝካር በሉ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00003,am,low,ሀ ባሉ፥ ደሞዝ በሉ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00004,am,low,ሀሁ ሳይሉ ጽሕፈት፤ ውል ሳይዙ ሙግት።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00005,am,low,ሀሜተኛ ነው ከዳተኛ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00006,am,low,ሀሜተኛ ያፍራል፤ እውነተኛ ይረታል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00007,am,low,ሀሜት አይቀር፥ ከድሀም ቤት።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00008,am,low,ሀሜትና ጅራት በስተኋላ ነው። (በስተኋላ ~ ከበስተኋላ),,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00009,am,low,ሀምላ ቢያባራ፥ በጋ ይመስላል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00010,am,low,ሀምላና ሙሽራ ሳይገለጡ ነው።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00011,am,low,ሀምላን በብጣሪ፤ ነሀሴን በእንጥርጣሪ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00012,am,low,ሀረጉን ሲስቡት ዚፉ ይወዚወዚል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00013,am,low,ሀረጉን ሳብ፥ ዚፉ እንዱሳሳብ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00014,am,low,ሀረጎ አጠጣሽኝ ዕርጎ። ሀረጎ አጠጣችኝ ዕርጎ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00015,am,low,ሀሰተኛ ሲናገር ይታወቃል፤ ሥሡ ሲበላ ይታነቃል። ሀሰተኛ ሲናገር ይታወቃል፤ በሶ ሲበሉት ያንቃል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00016,am,low,ሀሰተኛ በቃሉ፤ ስደተኛ በቅሉ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00017,am,low,ሀሰተኛ ያወራውን፥ ፈረሰኛ አይመልሰውም።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00018,am,low,ሀሰተኛን ሲረቱ በወንድሙ(ና) በእኅቱ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
