id,lang,resource_level,proverb_native,proverb_en,context_native,context_en,label,source,notes
id_0001,id,medium,Bagai pungguk merindukan bulan,,"Orang 1: Apa kabar, kamu sudah mencapai impianmu untuk menjadi seorang penyanyi terkenal? Orang 2: Belum, sepertinya impian itu terlalu tinggi untuk saya capai. Orang 1: Ya, memang terkadang kita menginginkan sesuatu yang sulit untuk digapai. Orang 2: Betul sekali, bagai pungguk merindukan bulan.",,figurative,MAPS,
id_0002,id,medium,Seperti lalat mencari puru,,"Orang 1: Wah, dia selalu mencari keuntungan dari setiap kesempatan yang ada ya.  Orang 2: Iya, seperti lalat mencari puru.",,figurative,MAPS,
id_0003,id,medium,Tali yang tiga lembar itu tak suang-suang putus,,"Orang 1: Kita harus bersatu agar bisa menghadapi masalah ini dengan lebih kuat. Orang 2: Benar, tali yang tiga lembar itu tak suang-suang putus.",,figurative,MAPS,
id_0004,id,medium,Gajah dialahkan oleh pelanduk,,"Orang 1: Apakah kamu yakin bisa mengalahkan bos besar itu? Orang 2: Tentu saja, orang besar dapat dikalahkan oleh orang cerdik. Gajah dialahkan oleh pelanduk.",,figurative,MAPS,
id_0005,id,medium,Tak kayu jenjang dikeping,,Orang 1: Bagaimana cara mengatasi masalah ini? Orang 2: Kita harus berusaha dengan keras dan fokus pada tujuan kita. Orang 1: Tapi bagaimana kalau ada rintangan yang sulit diatasi? Orang 2: Tak kayu jenjang dikeping.,,figurative,MAPS,
id_0006,id,medium,"Seperti menghela rambut ditepung, rambut tak putus, tepung tidak terserak",,"Orang 1: Bagaimana cara menyelesaikan perselisihan dengan baik? Orang 2:  Seperti menghela rambut ditepung, rambut tak putus, tepung tidak terserak.",,figurative,MAPS,
id_0007,id,medium,Seperti unta menyerahkan diri,,Orang 1: Apa arti kesetiaan bagimu? Orang 2: Kesetiaan padaku seperti unta menyerahkan diri.,,figurative,MAPS,
id_0008,id,medium,Tong kosong nyaring bunyinya,,Orang 1: Apa pendapatmu tentang orang yang suka berbicara banyak? Orang 2: Tong kosong nyaring bunyinya.,,figurative,MAPS,
id_0009,id,medium,"Hujan tak sekali jatuh, simpai tak sekali erat",,"Orang 1: Kenapa kamu terlihat begitu lelah? Apa kamu sudah menyelesaikan semua pekerjaanmu?  Orang 2: Belum, masih banyak yang harus diselesaikan. Tapi, saya telah belajar bahwa hujan tidak turun sekali, lingkaran tidak menggantung sekali.",,figurative,MAPS,
id_0010,id,medium,Tidak terindang dedak basah,,"Orang 1: Sudah mencoba mencari solusi untuk masalah ini? Orang 2: Sudah, tapi sepertinya tidak ada jalan keluarnya.  Orang 1: Mungkin kita harus mencari bantuan dari orang lain? Orang 2: Tapi siapa yang bisa membantu? Tidak terindang dedak basah.",,figurative,MAPS,
id_0011,id,medium,Parang gabus menjadi parang besi,,"Orang 1: Kamu dengar tentang siapa yang terpilih menjadi pemimpin desa kita?  Orang 2: Ya, parang gabus menjadi parang besi.",,figurative,MAPS,
id_0012,id,medium,Tali jangan putus kaitan jangan sekah,,Orang 1: Bagaimana cara menyelesaikan masalah antara dua orang yang sedang berselisih? Orang 2: Tali jangan putus kaitan jangan sekah.,,figurative,MAPS,
