id,language,resource_level,proverb_native,proverb_en,fig_or_literal,mk_theme,proverb_type,prescriptive_or_descriptive,structural_pattern,crosslingual_type_id,source_dataset,source_url,license,human_machine_labelled
yo_oweyor_00001,yo,low,‘‘Ó kù díẹ̀ kí n wí’’: ojo ní ń sọni da.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00002,yo,low,"A kì í pè é lẹ́rú, ká pè é lóbí.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00003,yo,low,Ẹ̀bìtì ò peèrà; ará ilé ẹni ní ń pani.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00004,yo,low,Akáyín le j'ọgẹdẹ; kò leè jèkùrá.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00005,yo,low,"Àgbàlagbà ńfìbínú lọ sÍlọrin, a ní kó ra tìróò bọ̀.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00006,yo,low,Ajá tó lè sáré là ń dẹ sí egbin.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00007,yo,low,Bí ikú yóò pani á gbọ́ tẹnu ẹni; òpìtàn ní ń fi ìtàn gba ara-a rẹ̀ kalẹ̀.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00008,yo,low,"Àtíòro-ó jẹ̀gbá jẹlá, ó ní òun ò kú; ó ní bí gbogbo ẹyẹ ayé ti ń fò náà ni òun ń fò yí.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00009,yo,low,"Bí òní ti rí, ọ̀la ò rí bẹ́ẹ̀; ni babaláwo-ó fi ń dÍfá lọ́rọọrún.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00010,yo,low,A kì í gbé àárín ojì èèyàn ká má ṣì wí.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
