ref_idx,source_type,text,theme,main_class,subgroup_code,kuusi_id
0,example,Water will stand in a hollow,A,A1,A1a,A1a-13
1,example,Let things take their course,A,A1,A1a,A1a-14
2,example,Man muß den Dingen ihren Lauf lassen,A,A1,A1a,A1a-14
3,example,Il faut laisser couler l'eau,A,A1,A1a,A1a-14
4,example,Fire is a good servant but a bad master,A,A1,A1a,A1a-17
5,example,"L'acqua e il fuoco son buoni servitori, ma cattivi padroni",A,A1,A1a,A1a-17
6,example,"Praise the sea, but keep on land",A,A1,A1b,A1b-17
7,example,Schön ist das Meer vom Ufer aus,A,A1,A1b,A1b-17
8,example,"Fida terra, infidum mare (Latin)",A,A1,A1b,A1b-17
9,example,"Loue la mer, et tiens-toi à la terre",A,A1,A1b,A1b-17
10,example,"Let him that knows not how to pray, go to sea",A,A1,A1b,A1b-19
11,example,"Wer nicht beten kann, werde ein Schiffsmann",A,A1,A1b,A1b-19
12,example,Das Meer lehrt beten,A,A1,A1b,A1b-19
13,example,"Qui nescit orare, pergat ad mare (Latin)",A,A1,A1b,A1b-19
14,example,Where there's muck there's money,A,A1,A1c,A1c-11
15,example,"Wo stinkt, da klingt",A,A1,A1c,A1c-11
16,example,"Negro es el carbonero, pero blanco su dinero",A,A1,A1c,A1c-11
17,example,Heat breaks no bones,A,A1,A1e,A1e-10
18,example,"Wärme bringt Leben, Kälte Tod",A,A1,A1e,A1e-10
19,example,A woman hath nine lives like a cat,A,A2,A2a,A2a-14
20,example,eine Katze hat neun Leben,A,A2,A2a,A2a-14
21,example,les chats ont neuf vies,A,A2,A2a,A2a-14
22,example,gatos tienen siete vidas,A,A2,A2a,A2a-14
23,example,gatti hanno nove vite,A,A2,A2a,A2a-14
24,example,An evening red and a morning grey are sure signs of a fair day,A,A2,A2b,A2b-19
25,example,"Abendrot gut Wetter bot, Morgenrot bringt Wind und Kot",A,A2,A2b,A2b-19
26,example,Sera rossa e negro mattino allegra il pellegrino,A,A2,A2b,A2b-19
27,example,The east wind won't cease before it rains and a wife's scolding won't cease before she cries trl. Finnish,A,A3,A3a,A3a-12
28,example,The east wind won't cease before it rains and a wife's scolding won't cease before she cries,A,A3,A3a,A3a-12
29,example,A rainbow in the morning is the shepherd's warning; a rainbow at night is the shepherd's delight,A,A3,A3a,A3a-23
30,example,"arc-en-ciel du matin, pluie sans fin; arc-en-ciel du soir, il faut voir",A,A3,A3a,A3a-23
31,example,When it rains and the sun shines...,A,A3,A3a,A3a-25
32,example,Men worship the rising not the setting sun,A,A3,A3b,A3b-12
33,example,Die Morgensonne hat mehr Anbeter als die Abendsonne,A,A3,A3b,A3b-12
34,example,Plures adorant solem orientem quam occidentem (Latin),A,A3,A3b,A3b-12
35,example,"Si stima più il sole levante, che l'occidente",A,A3,A3b,A3b-12
36,example,The morning hour has gold in its mouth,A,A3,A3b,A3b-13
37,example,Morgenstunde hat Gold im Munde,A,A3,A3b,A3b-13
38,example,Aurora musis amica (Latin),A,A3,A3b,A3b-13
39,example,L'aurore a de l'or dans la bouche,A,A3,A3b,A3b-13
40,example,Get a name to rise up early and you may lie all day,A,A3,A3b,A3b-14
41,example,"Qui a bruit de se lever matin, peut dormir jusqu'au soir",A,A3,A3b,A3b-14
42,example,For a morning rain leave not your journey,A,A3,A3b,A3b-18
43,example,Frühregen und Frühgäste bleiben selten über Nacht,A,A3,A3b,A3b-18
44,example,Non multum metuas matutinum hospitem et imbrem(Latin),A,A3,A3b,A3b-18
45,example,Vent de soir et pluie du matin n'étonnet paslePèlerin,A,A3,A3b,A3b-18
46,example,Rain in spring is as precious as oil trl. Chinese,A,A3,A3c,A3c-10
47,example,Rain in spring is as precious as oil,A,A3,A3c,A3c-10
48,example,April and May are the keys of the year,A,A3,A3c,A3c-12
49,example,April und Mai sind die Schlüssel zum ganzen Jahr,A,A3,A3c,A3c-12
50,example,"April weather, rain and sunshine both together",A,A3,A3c,A3c-13b
51,example,Mann soll den Tag nicht vor dem Abend loben,A,A3,A3c,A3c-13b
52,example,"Wen der Herrgott nass macht, den macht er auch wieder trocken",A,A3,A3c,A3c-31
53,example,"A snow year, a rich year",A,A3,A3c,A3c-38
54,example,"Schneejahr, reich Jahr",A,A3,A3c,A3c-38
55,example,"Anno di neve, anno di bene",A,A3,A3c,A3c-38
56,example,An age to an age is not a brother trl. Lithuanian,A,A3,A3c,A3c-41
57,example,An age to an age is not a brother,A,A3,A3c,A3c-41
58,example,"Fields require three things: a fair weather, sound seed and good husbandman",A,A3,A3c,A3c-42
59,example,Das Jahr bringt Getreid und der Acker,A,A3,A3c,A3c-42
60,example,"Annus producit, non ager (Latin)",A,A3,A3c,A3c-42
61,example,April snow breeds grass,A,A3,A3d,A3d-15
62,example,A bushel of March dust and a shower in May makes the corn green and the field gay,A,A3,A3d,A3d-15
63,example,"Avril pleut aux hommes, mai pleut aux bêtes",A,A3,A3d,A3d-15
64,example,Good folks do not marry in May,A,A3,A3d,A3d-17
65,example,Im Mai gehen Huren und Buben zur Kirche,A,A3,A3d,A3d-17
66,example,Mense malas Maio nubere vulgus ait (Latin),A,A3,A3d,A3d-17
67,example,Nel maggio non si fanno nozze,A,A3,A3d,A3d-17
68,example,Everything is possible for God,B,B1,B1a,B1a-10
69,example,Cuncta potest facere deus (Latin),B,B1,B1a,B1a-10
70,example,Dio può tutto,B,B1,B1a,B1a-10
71,example,God sends men cold as they have clothes on,B,B1,B1a,B1a-14
72,example,To a close-shorn sheep God gives wind by measure,B,B1,B1a,B1a-14
73,example,Pro ratione deus dispertit frigora vestis (Latin),B,B1,B1a,B1a-14
74,example,"Whom God teaches not, man cannot",B,B1,B1a,B1a-15
75,example,Rien ne réussit si Dieu n'y donne sa bénédition (Latin),B,B1,B1a,B1a-15
76,example,"Quando Dio aiuta, ogni cosa riesce",B,B1,B1a,B1a-15
77,example,Nic bez Boga (Polish),B,B1,B1a,B1a-15
78,example,"Man proposes, God disposes",B,B1,B1a,B1a-16
79,example,"Der mensch denkt, Gott lenkt",B,B1,B1a,B1a-16
80,example,"Homo proponit, Deus disponit (Latin)",B,B1,B1a,B1a-16
81,example,The sun rises on good and bad alike,B,B1,B1a,B1a-19
82,example,Die Sonne geht auf über Gute und Böse,B,B1,B1a,B1a-19
83,example,Le soleil brille partout,B,B1,B1a,B1a-19
84,example,El sol sale para todo el mundo,B,B1,B1a,B1a-19
85,example,God strikes not with both hands,B,B1,B1a,B1a-22
86,example,Jede Sünde findet Vergebung,B,B1,B1a,B1a-22
87,example,No hiere Dios con dos manos,B,B1,B1a,B1a-22
88,example,Good fortune comes to some people while they are asleep,B,B1,B1b,B1b-13
89,example,Gott gibt's den Seinen im Schlafe,B,B1,B1b,B1b-13
90,example,La fortune vient en dormant,B,B1,B1b,B1b-13
91,example,He who serves God has a good master,B,B1,B1b,B1b-14
92,example,"Wer auf Gott vertraut, ist schon auferbaut",B,B1,B1b,B1b-14
93,example,"Spes confisa deo, nuncuam confusa recedit (Latin)",B,B1,B1b,B1b-14
94,example,He that sends mouths sends meat,B,B1,B1b,B1b-16
95,example,"Wer Zähne gab, gibt auch Brot",B,B1,B1b,B1b-16
96,example,Dio manda l'agnoletto e'l pascoletto,B,B1,B1b,B1b-16
97,example,The Lord gives and the Lord takes away,B,B1,B1b,B1b-22
98,example,"Bóg bierze, Bóg daje (Polish)",B,B1,B1b,B1b-22
99,example,He who has no friend has God trl. Egyptian,B,B1,B1b,B1b-23
100,example,He who has no friend has God,B,B1,B1b,B1b-23
101,example,Whom the Lord loves he reproves,B,B1,B1c,B1c-10
102,example,"Wen Gott lieb hat, den züchtigt er",B,B1,B1c,B1c-10
103,example,"Quem enim diligit Dominus, corripit (Latin)",B,B1,B1c,B1c-10
