id,lang,resource_level,proverb_native,proverb_en,context_native,context_en,label,source,notes
bn_0001,bn,medium,চক চক করলেই সোনা হয় না,,ব্যক্তি ১: তুমি কি নতুন রেস্তোরা খোলা সম্পর্কে শুনেছ? ব্যক্তি ২: হ্যাঁ! নতুন রেস্তোরাঁ খুব সুশোভিত এবং ঝকমকে। ব্যক্তি ১: চক চক করলেই সোনা হয় না।,,figurative,MAPS,
bn_0002,bn,medium,ঘোড়া ডিঙিয়ে ঘাস খাওয়া,,"ব্যক্তি ১: আমি শুনলাম আধিরা সম্প্রতি একটি উন্নতি পেয়েছে, সে ধনী হচ্ছে!  ব্যক্তি ২: তিনি কঠোর পরিশ্রমের মাধ্যমে নয়, বরং ঘোড়া ডিঙিয়ে ঘাস খাওয়া।",,figurative,MAPS,
bn_0003,bn,medium,ফাটা কাঁসর বেসুরে বাজে,,"ব্যক্তি ১: আমার মনে হয়েছে নতুন লোকটি মিটিংয়ে অনেক মতামত ব্যক্ত করছে। ব্যক্তি ২: অবশ্যই, বাকি সবাই তাই মনে করেছে। ফাটা কাঁসর বেসুরে বাজে।",,figurative,MAPS,
bn_0004,bn,medium,অজ্ঞানের কান দুটো ছোট ও জিভটা বড় হয়,,"ব্যক্তি ১: তোমার কি নতুন বসের সাথে দেখা হয়েছে? ব্যক্তি ২: হ্যাঁ, হয়েছে। উনি সবসময় এত কথা কেন বলেন? ব্যক্তি ৩: অজ্ঞানের কান দুটো ছোট ও জিভটা বড় হয়।",,figurative,MAPS,
bn_0005,bn,medium,অশ্বত্থামা হত ইতি গজ,,"ব্যক্তি ১: তুমি সত্যিই তাদের বলেছিলে যে প্রকল্পটি সম্পন্ন হয়েছে, যখন এটি কেবল অর্ধেক করা হয়েছে? ব্যক্তি ২:  আমি কেবল বলেছি আমরা গভীর অগ্রগতি করেছি। ব্যক্তি ১: অশ্বত্থামা হত ইতি গজ।",,figurative,MAPS,
bn_0006,bn,medium,এক চাকাতে রথ চলে না,,"ব্যক্তি ১: তুমি কি ঝগড়াটা সম্পর্কে শুনেছো? ব্যক্তি ২: হ্যাঁ, আমি শুনেছি যে একজন অপর জনের সম্পর্কে গুজব ছড়াচ্ছিল। ব্যক্তি ১: তোমার কি মনে হয় সব দোষ পরচর্চাকারীর? ব্যক্তি ২: এক চাকাতে রথ চলে না।",,figurative,MAPS,
bn_0007,bn,medium,শুধু গৌর নয় গৌরহরি সমাদ্দার,,"ব্যক্তি ১:আপনি কি হিসাবরক্ষণ বিভাগের লোককে দেখেছেন?ব্যক্তি ২: হ্যাঁ। আমি শুনেছি যে সে বসের ছেলে।? ব্যক্তি ১: ভাল, শুধু গৌর নয় গৌরহরি সমাদ্দার।",,figurative,MAPS,
bn_0008,bn,medium,চূড়ার উপর ময়ূরপাখা,,"ব্যক্তি ১: এই কেকটা দেখো! যে এই কেকটা বানিয়েছেন সে সত্যিই অনেক পরিশ্রম করেছেন। ব্যক্তি ২: উহম, চূড়ার উপর ময়ূরপাখা।",,figurative,MAPS,
bn_0009,bn,medium,আদায় কাঁচকলায় সম্পর্ক,,"ব্যক্তি ১:  আমি শুনেছি যে গতকাল বসদের মধ্যে একটা বড় ঝগড়া হয়েছে। আমি আরো শুনেছি যে উনারা বিশ্ববিদ্যালয় সহপাঠী ছিলেন, এটা এতো অদ্ভুত। ব্যক্তি ২: আমি একই বিশ্ববিদ্যালয়ে পড়াশোনা করেছি, তাদের আদায় কাঁচকলায় সম্পর্ক।",,figurative,MAPS,
bn_0010,bn,medium,একটি মিথ্যা ঢাকতে দশটা মিথ্যা কথা বলতে হয়,,ব্যক্তি ১:  তুমি কি আমাদের বসের কাহিনী শুনেছ? ব্যক্তি ২:  হ্যাঁ উনি নাকি উনার শিক্ষাগত যোগ্যতার ব্যাপারে মিথ্যা কথা বলেছিলেন। ব্যক্তি ১:  আমি বিশ্বাস করতে পারছি না যে উনি দশ বছর ধরে এই মিথ্যা চালিয়ে যাচ্ছেন ব্যক্তি ২: একটি মিথ্যা ঢাকতে দশটা মিথ্যা কথা বলতে হয়,,literal,MAPS,
