id,language,resource_level,proverb_native,proverb_en,fig_or_literal,mk_theme,proverb_type,prescriptive_or_descriptive,structural_pattern,crosslingual_type_id,source_dataset,source_url,license,human_machine_labelled
gutenberg_00001,fr,high,A barbe de fol apprend-on à raire,On a fool’s beard the barber learns to shave.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00002,fr,high,"A beau demandeur, beau refuseur","Handsomely asked, handsomely refused.",,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00003,fr,high,A beau jeu beau retour,One good turn deserves another.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00004,fr,high,A beau mentir qui vient de loin,He may lie boldly who comes from afar.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00005,fr,high,A bon appétit il ne faut point de sauce,Hunger is the best sauce.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00006,fr,high,A bon chat bon rat,To a good cat a good rat.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00007,fr,high,A bon cheval point d’éperon,Spur not a willing horse.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00008,fr,high,A bon chien il ne vient jamais un bon os,A good dog never gets a good bone.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00009,fr,high,Abondance de biens ne nuit pas,Store is no sore.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00010,fr,high,A bon entendeur demi-mot,A word to the wise.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00011,fr,high,A bon pêcheur échappe anguille,An eel escapes from a good fisherman.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00012,fr,high,A bon vin point d’enseigne,Good wine needs no sign.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00013,fr,high,A brebis tondue Dieu mesure le vent,God tempers the wind to the shorn lamb.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00014,fr,high,"Absent le chat, les souris dansent",When the cat’s away the mice will play.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00015,fr,high,Absent n’est point sans coulpe ni présent sans excuse,"Absent, none without blame; present, none without excuse.",,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00016,fr,high,A carême-prenant chacun a besoin de sa poële,At shrove-tide every one has need of his frying-pan.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00017,fr,high,A celui qui a son pâté au four on peut donner de son gâteau,To one who has a pie in the oven you may give a bit of your cake.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00018,fr,high,A chacun son fardeau pèse,Every one feels his own burden heavy.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00019,fr,high,A chair de loup sauce de chien,For wolf’s flesh dog sauce.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00020,fr,high,A chaque fou plaît sa marotte,Every fool likes his bauble.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00021,fr,high,A chaque jour suffit sa peine,Sufficient for the day is the evil thereof.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00022,fr,high,A chaque saint son cierge,To every saint his candle.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00023,fr,high,A chemin battu ne croît point d’herbe,No grass grows on a beaten road.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00024,fr,high,Acheter chat en poche,To buy a cat in a poke.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00025,fr,high,"A cheval donné, il ne faut point regarder à la bouche",Look not a gift horse in the mouth.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00026,fr,high,A chose faite conseil pris,When a thing is done advice comes too late.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00027,fr,high,"A confesseurs, médecins, avocats, la vérité ne cèle de ton cas","From confessors, doctors, and lawyers, do not conceal the truth of your case.",,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00028,fr,high,"Adieu paniers, vendanges sont faites","Farewell baskets, the vintage is ended.",,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00029,fr,high,A dur âne dur aiguillon,For a stubborn ass a hard goad.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00030,fr,high,A femme avare galant escroc,A covetous woman deserves a swindling gallant.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00031,fr,high,A force de mal aller tout ira bien,By dint of going wrong all will come right.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00032,fr,high,A fripon fripon et demi,To a rogue a rogue and a half.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00033,fr,high,A goupil endormi rien ne lui chet en gueule,Nothing falls into the mouth of a sleeping fox.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00034,fr,high,A homme hardi fortune tend la main,To a bold man fortune holds out her hand.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00035,fr,high,"Aide-toi, le ciel t’aidera",Help thyself and heaven will help thee.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00036,fr,high,"Aime-moi un peu, mais continue","Love me a little, but love me long.",,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00037,fr,high,Aimer et savoir n’ont même manière,To love and to be wise are two different things.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00038,fr,high,"Ainsi dit le renard des mûres, quand il n’en peut avoir: elles ne sont point bonnes",The fox says of the mulberries when he cannot get at them: they are not good at all.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00039,fr,high,Aisé à dire est difficile à faire,Easy to say is hard to do.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00040,fr,high,A la chandelle la chèvre semble demoiselle,By candle-light a goat looks like a lady.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00041,fr,high,A la fin saura-t-on qui a mangé le lard,In the end it will be known who ate the bacon.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00042,fr,high,A la guerre comme à la guerre,At the wars as they do at the wars.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
gutenberg_00043,fr,high,A l’amour et au feu on s’habitue,One grows used to love and to fire.,,,,,,,Gutenberg-Polyglot-Bohn-1857,https://www.gutenberg.org/cache/epub/51090/pg51090.txt,public-domain,
